zone,dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
S1,D1,1,0,0,S1,H3131
S1,D1,1,11,110,H2723,S1
S1,D1,2,0,120,S1,H2741
S1,D1,2,10,220,H2741,H2717
S1,D1,3,0,240,S1,H2513
S1,D1,3,3,270,H3047,H3047
S1,D1,3,11,350,H3143,S1
S1,D1,4,0,360,S1,S1
S1,D1,4,3,390,H3425,H3371
S1,D1,4,6,420,H3227,S1
S1,D1,4,9,450,S1,H2933
S1,D1,4,11,470,H2933,S1
S1,D1,5,0,480,S1,H2741
S1,D1,5,2,500,H2837,H2723
S1,D1,5,4,520,H2831,H2945
S1,D1,5,10,580,H2945,S1
S1,D1,6,0,600,S1,H3047
S1,D1,6,2,620,H2093,H2087
S1,D1,6,3,630,H2087,H2309
S1,D1,6,6,660,H2309,H2951
S1,D1,6,9,690,H2207,H2825
S1,D1,7,0,720,S1,H2843
S1,D1,7,2,740,H3425,H2723
S1,D1,7,4,760,H3233,H2723
S1,D1,7,8,800,H3347,H2819
S1,D1,7,10,820,H3245,S1
S1,D1,8,0,840,S1,H3029
S1,D1,8,2,860,H3443,H2627
S1,D1,8,4,880,H3431,H3341
S1,D1,8,7,910,H3341,H3437
S1,D1,8,10,940,H3437,S1
S1,D1,9,0,960,S1,H2825
S1,D1,9,2,980,H3167,H3149
S1,D1,9,4,1000,H3053,S1
S1,D1,9,9,1050,H3161,H2537
S1,D1,10,0,1080,S1,S1
S1,D1,10,2,1100,H3143,S1
S1,D1,10,4,1120,H3239,H3233
S1,D1,10,5,1130,H3233,H2309
S1,D1,10,7,1150,H3347,H3335
S1,D1,10,11,1190,H3233,S1
S1,D1,11,0,1200,S1,S1
S1,D1,11,2,1220,H3431,S1
S1,D1,11,5,1250,H3341,H2843
S1,D1,11,10,1300,H3443,S1
S1,D1,12,0,1320,S1,S1
S1,D1,12,2,1340,H2645,S1
S1,D1,12,4,1360,H2639,S1
S1,D1,12,6,1380,H2633,S1
S1,D2,1,0,0,S1,H3341
S1,D2,1,11,110,H3335,S1
S1,D2,2,0,120,S1,H3335
S1,D2,2,10,220,H3335,H3431
S1,D2,3,0,240,S1,H3233
S1,D2,3,2,260,H3167,H3341
S1,D2,3,4,280,H3155,H2927
S1,D2,3,6,300,H3161,H3257
S1,D2,3,9,330,H3257,H2627
S1,D2,4,0,360,S1,S1
S1,D2,4,2,380,H3149,S1
S1,D2,4,4,400,H3245,S1
S1,D2,4,6,420,H3239,S1
S1,D2,4,11,470,H3233,S1
S1,D2,5,0,480,S1,H2615
S1,D2,5,2,500,H2927,H2831
S1,D2,5,7,550,H3023,H3167
S1,D2,5,9,570,H3137,H2513
S1,D2,6,0,600,S1,H3053
S1,D2,6,2,620,H2543,H2549
S1,D2,6,5,650,H2549,H3371
S1,D2,6,7,670,H2639,H3467
S1,D2,6,10,700,H2741,S1
S1,D2,7,0,720,S1,H3425
S1,D2,7,2,740,H2843,H3263
S1,D2,7,4,760,H2939,H3347
S1,D2,7,6,780,H3041,S1
S1,D2,7,10,820,H2933,S1
S1,D2,8,0,840,S1,H2735
S1,D2,8,2,860,H3029,H3431
S1,D2,8,4,880,H2927,H2417
S1,D2,8,6,900,H3023,H3119
S1,D2,8,7,910,H3119,H2957
S1,D2,8,10,940,H2915,S1
S1,D2,9,0,960,S1,H3233
S1,D2,9,3,990,H2537,H2825
S1,D2,9,10,1060,H2543,S1
S1,D2,10,0,1080,S1,S1
S1,D2,10,2,1100,H3329,S1
S1,D2,10,5,1130,H3425,H2849
S1,D2,10,7,1150,S1,H2537
S1,D2,10,9,1170,H2519,H2843
S1,D2,10,11,1190,H2627,S1
S1,D2,11,0,1200,S1,S1
S1,D2,11,2,1220,H3461,H3257
S1,D2,11,3,1230,H3257,H2621
S1,D2,11,5,1250,H3167,H3329
S1,D2,11,7,1270,H2957,H2753
S1,D2,11,8,1280,H2753,S1
S1,D2,11,10,1300,H2651,S1
S1,D2,12,0,1320,S1,S1
S1,D2,12,2,1340,H2711,S1
S1,D2,12,5,1370,H2507,H2945
S1,D3,1,0,0,S1,H3431
S1,D3,1,11,110,H2819,S1
S1,D3,2,0,120,S1,H2513
S1,D3,2,8,200,H3233,H2825
S1,D3,2,10,220,H3341,H2711
S1,D3,3,0,240,S1,H2627
S1,D3,3,3,270,H2639,H3119
S1,D3,3,5,290,H2549,H2951
S1,D3,3,9,330,H2555,H3221
S1,D3,3,11,350,H2759,S1
S1,D3,4,0,360,S1,S1
S1,D3,4,2,380,H3329,H3341
S1,D3,4,3,390,H3341,H2621
S1,D3,4,5,410,H3347,H2741
S1,D3,4,8,440,H3449,S1
S1,D3,5,0,480,S1,H2519
S1,D3,5,3,510,H2651,H2729
S1,D3,5,8,560,H2747,H2753
S1,D3,5,9,570,H2753,H2915
S1,D3,6,0,600,S1,S1
S1,D3,6,2,620,H3053,H3161
S1,D3,6,4,640,H3161,H2957
S1,D3,6,6,660,H2957,H2813
S1,D3,6,10,700,H2951,S1
S1,D3,7,0,720,S1,H3059
S1,D3,7,2,740,H2555,H2441
S1,D3,7,4,760,H2441,H3251
S1,D3,7,11,830,H2435,S1
S1,D3,8,0,840,S1,H2333
S1,D3,8,2,860,H2633,H3353
S1,D3,8,4,880,H2627,H3353
S1,D3,8,6,900,H2525,H2309
S1,D3,9,0,960,S1,H3047
S1,D3,9,2,980,H2711,H3053
S1,D3,9,5,1010,H2615,H3335
S1,D3,9,11,1070,H2723,S1
S1,D3,10,0,1080,S1,S1
S1,D3,10,3,1110,H2555,H2927
S1,D3,10,5,1130,H2759,H2315
S1,D3,10,7,1150,S1,H3245
S1,D3,10,9,1170,H2849,H3149
S1,D3,10,11,1190,H2753,S1
S1,D3,11,0,1200,S1,S1
S1,D3,11,2,1220,H2093,S1
S1,D3,11,4,1240,H2201,S1
S1,D3,11,6,1260,H2405,S1
S1,D3,11,8,1280,S1,S1
S1,D3,11,11,1310,H2945,S1
S1,D3,12,0,1320,S1,S1
S1,D3,12,2,1340,H2825,S1
S1,D3,12,5,1370,H2933,H3035
S1,D3,12,6,1380,H3035,S1
S1,D4,1,0,0,S1,H2717
S1,D4,1,11,110,H2741,S1
S1,D4,2,0,120,S1,H2627
S1,D4,2,10,220,H2513,H2927
S1,D4,3,0,240,S1,H2411
S1,D4,3,2,260,H2309,H2717
S1,D4,3,4,280,H2315,H2837
S1,D4,3,11,350,H2417,S1
S1,D4,4,0,360,S1,S1
S1,D4,4,2,380,H2729,H2831
S1,D4,4,3,390,H2831,H3035
S1,D4,4,5,410,H2939,H3017
S1,D4,4,9,450,H3041,H3239
S1,D4,5,0,480,S1,H2837
S1,D4,5,2,500,H2915,S1
S1,D4,5,4,520,H2921,S1
S1,D4,5,6,540,H2819,S1
S1,D4,5,8,560,H2711,S1
S1,D4,5,10,580,H2717,S1
S1,D4,6,0,600,S1,S1
S1,D4,6,2,620,H3047,H3437
S1,D4,6,4,640,H3155,H2609
S1,D4,6,7,670,H3149,H2531
S1,D4,6,9,690,S1,H3449
S1,D4,6,11,710,H2825,S1
S1,D4,7,0,720,S1,S1
S1,D4,7,2,740,H2315,S1
S1,D4,7,4,760,H2321,H2429
S1,D4,7,8,800,H2429,H3365
S1,D4,8,0,840,S1,S1
S1,D4,8,2,860,H3227,S1
S1,D4,8,4,880,H3335,H3023
S1,D4,8,7,910,H3221,H3329
S1,D4,8,9,930,H3329,H3347
S1,D4,9,0,960,S1,H2921
S1,D4,9,3,990,H3233,H2609
S1,D4,9,7,1030,H3335,H3443
S1,D4,9,9,1050,S1,H2951
S1,D4,9,11,1070,H3119,S1
S1,D4,10,0,1080,S1,S1
S1,D4,10,2,1100,H2207,S1
S1,D4,10,5,1130,H2315,H3239
S1,D4,10,7,1150,S1,H2921
S1,D4,10,9,1170,H2429,H2519
S1,D4,10,11,1190,H2435,S1
S1,D4,11,0,1200,S1,S1
S1,D4,11,2,1220,H2303,S1
S1,D4,11,4,1240,H2513,S1
S1,D4,11,6,1260,H2717,S1
S1,D4,11,9,1290,H2615,S1
S1,D4,12,0,1320,S1,S1
S1,D4,12,2,1340,H2747,S1
S1,D4,12,4,1360,H2855,S1
S1,D5,1,0,0,S1,H2711
S1,D5,1,11,110,H3233,S1
S1,D5,2,0,120,S1,H2411
S1,D5,2,3,150,H2615,H3233
S1,D5,2,10,220,H2723,H2621
S1,D5,3,0,240,S1,H3263
S1,D5,3,2,260,H2411,H2519
S1,D5,3,3,270,H2519,H2639
S1,D5,3,5,290,H2621,H3029
S1,D5,3,9,330,H2531,H2417
S1,D5,3,11,350,H2537,S1
S1,D5,4,0,360,S1,S1
S1,D5,4,3,390,H3017,H3227
S1,D5,4,5,410,H3131,H3041
S1,D5,4,10,460,H3029,S1
S1,D5,5,0,480,S1,H2753
S1,D5,5,2,500,H2435,S1
S1,D5,5,4,520,H2423,H2519
S1,D5,5,5,530,H2519,H2945
S1,D5,5,7,550,H2411,H3443
S1,D5,5,9,570,H2417,H3347
S1,D5,6,0,600,S1,S1
S1,D5,6,2,620,H3341,H2405
S1,D5,6,7,670,H3437,H3251
S1,D5,6,9,690,S1,H3041
S1,D5,6,11,710,H3461,S1
S1,D5,7,0,720,S1,S1
S1,D5,7,2,740,H3059,S1
S1,D5,7,4,760,H3263,S1
S1,D5,7,6,780,H3371,S1
S1,D5,7,8,800,H3257,S1
S1,D5,7,10,820,H3365,S1
S1,D5,8,0,840,S1,S1
S1,D5,8,2,860,H2333,S1
S1,D5,8,4,880,H2213,S1
S1,D5,8,6,900,H2417,H2957
S1,D5,8,8,920,H2309,S1
S1,D5,9,0,960,S1,H2327
S1,D5,9,2,980,H2921,H2747
S1,D5,9,4,1000,H3017,S1
S1,D5,9,6,1020,S1,S1
S1,D5,9,9,1050,H2825,H2411
S1,D5,9,11,1070,H2933,S1
S1,D5,10,0,1080,S1,S1
S1,D5,10,2,1100,H3371,S1
S1,D5,10,10,1180,H3263,S1
S1,D5,11,0,1200,S1,S1
S1,D5,11,3,1230,H3449,S1
S1,D5,11,6,1260,H3353,S1
S1,D5,11,8,1280,H3257,S1
S1,D5,12,0,1320,S1,S1
S1,D5,12,2,1340,H3227,S1
S1,D5,12,4,1360,H3131,S1
S1,D6,1,0,0,S1,H2945
S1,D6,1,11,110,H2513,S1
S1,D6,2,0,120,S1,H2639
S1,D6,2,10,220,H2933,H3017
S1,D6,3,0,240,S1,H3035
S1,D6,3,2,260,H3431,H2813
S1,D6,3,4,280,H3437,H2435
S1,D6,3,11,350,H3335,S1
S1,D6,4,0,360,S1,S1
S1,D6,4,2,380,H2321,S1
S1,D6,4,4,400,H2207,S1
S1,D6,4,8,440,H2213,H2327
S1,D6,4,9,450,H2327,H2321
S1,D6,4,10,460,H2321,S1
S1,D6,5,0,480,S1,S1
S1,D6,5,2,500,H2519,S1
S1,D6,5,4,520,H2627,S1
S1,D6,5,7,550,H2633,H2531
S1,D6,5,9,570,H2531,H2435
S1,D6,5,10,580,H2435,S1
S1,D6,6,0,600,S1,S1
S1,D6,6,2,620,H3431,H2201
S1,D6,6,4,640,H3335,S1
S1,D6,6,7,670,H3329,H2855
S1,D6,6,9,690,H3323,H3335
S1,D6,6,10,700,H3335,S1
S1,D6,7,0,720,S1,S1
S1,D6,7,2,740,H3143,S1
S1,D6,7,7,790,H3251,H3155
S1,D6,7,10,820,H3155,S1
S1,D6,8,0,840,S1,S1
S1,D6,8,2,860,H3449,S1
S1,D6,8,5,890,H3455,H2963
S1,D6,8,10,940,H3467,S1
S1,D6,9,0,960,S1,S1
S1,D6,9,2,980,H2825,S1
S1,D6,9,7,1030,H2819,H3035
S1,D6,9,9,1050,S1,H2837
S1,D6,9,11,1070,H3131,S1
S1,D6,10,0,1080,S1,S1
S1,D6,10,2,1100,H2963,S1
S1,D6,10,4,1120,H3059,H3161
S1,D6,10,5,1130,H3161,H2753
S1,D6,10,7,1150,H3251,H3137
S1,D6,10,9,1170,H3245,H3227
S1,D6,11,0,1200,S1,S1
S1,D6,11,2,1220,H2321,H2213
S1,D6,11,5,1250,H2213,H2417
S1,D6,11,6,1260,H2417,S1
S1,D6,11,11,1310,H2525,S1
S1,D6,12,0,1320,S1,S1
S1,D6,12,2,1340,H2621,S1
S1,D6,12,4,1360,H2723,S1
S1,D6,12,6,1380,H2729,S1
S1,D7,1,0,0,S1,H3119
S1,D7,1,11,110,H2825,S1
S1,D7,2,0,120,S1,H2417
S1,D7,2,2,140,H2627,H2813
S1,D7,2,10,220,H2633,H2759
S1,D7,3,0,240,S1,H2735
S1,D7,3,3,270,H2957,H2849
S1,D7,3,7,310,H2951,H3353
S1,D7,3,11,350,H2945,S1
S1,D7,4,0,360,S1,S1
S1,D7,4,2,380,H2429,S1
S1,D7,4,4,400,H2333,S1
S1,D7,4,6,420,H2327,S1
S1,D7,5,0,480,S1,S1
S1,D7,5,3,510,H2735,H3263
S1,D7,5,11,590,H2825,S1
S1,D7,6,0,600,S1,S1
S1,D7,6,2,620,H2513,S1
S1,D7,6,4,640,H2405,S1
S1,D7,6,6,660,H2609,H2207
S1,D7,6,8,680,H2813,H3017
S1,D7,6,10,700,H3017,S1
S1,D7,7,0,720,S1,S1
S1,D7,7,2,740,H2507,S1
S1,D7,7,4,760,H2615,S1
S1,D7,7,6,780,H2519,S1
S1,D7,7,10,820,H2411,S1
S1,D7,8,0,840,S1,S1
S1,D7,8,2,860,H3239,S1
S1,D7,8,6,900,H3353,S1
S1,D7,9,0,960,S1,S1
S1,D7,9,3,990,H2717,H3125
S1,D7,9,11,1070,H2813,S1
S1,D7,10,0,1080,S1,S1
S1,D7,10,2,1100,H2087,S1
S1,D7,10,4,1120,H2411,H2525
S1,D7,10,5,1130,H2525,S1
S1,D7,10,8,1160,H2633,S1
S1,D7,10,10,1180,H2735,S1
S1,D7,11,0,1200,S1,S1
S1,D7,11,2,1220,H3365,S1
S1,D7,11,4,1240,H3359,S1
S1,D7,11,6,1260,H3455,S1
S1,D7,11,10,1300,H3467,S1
S1,D7,12,0,1320,S1,S1
S1,D7,12,2,1340,H2813,S1
S1,D7,12,4,1360,H2915,S1
S1,D7,12,6,1380,H3017,S1
S1,D8,1,0,0,S1,H2639
S1,D8,1,11,110,H3131,S1
S1,D8,2,0,120,S1,H2321
S1,D8,2,10,220,H2819,H2321
S1,D8,3,0,240,S1,H2525
S1,D8,3,2,260,H2717,H2711
S1,D8,3,4,280,H2813,H2213
S1,D8,3,6,300,H2711,H2717
S1,D8,3,7,310,H2717,H3347
S1,D8,3,9,330,H2609,H2717
S1,D8,3,10,340,H2717,H2843
S1,D8,4,0,360,S1,S1
S1,D8,4,2,380,H3371,S1
S1,D8,4,4,400,H3365,S1
S1,D8,4,6,420,H3455,S1
S1,D8,4,8,440,H3443,S1
S1,D8,4,9,450,S1,S1
S1,D8,4,11,470,H3035,S1
S1,D8,5,0,480,S1,S1
S1,D8,5,2,500,H2615,S1
S1,D8,5,5,530,H2723,S1
S1,D8,5,7,550,H2621,H3137
S1,D8,5,9,570,H2525,S1
S1,D8,6,0,600,S1,S1
S1,D8,6,2,620,H3461,S1
S1,D8,6,5,650,H3359,S1
S1,D8,6,9,690,H3467,H3461
S1,D8,7,0,720,S1,S1
S1,D8,7,2,740,H3035,S1
S1,D8,7,4,760,S1,H2633
S1,D8,7,5,770,H2633,H2855
S1,D8,7,7,790,H2729,S1
S1,D8,7,11,830,H2819,S1
S1,D8,8,0,840,S1,S1
S1,D8,8,3,870,H2651,S1
S1,D8,8,6,900,H2855,S1
S1,D8,8,9,930,H2957,S1
S1,D8,9,0,960,S1,S1
S1,D8,9,2,980,H2327,S1
S1,D8,9,4,1000,H2423,S1
S1,D8,9,7,1030,H2531,S1
S1,D8,9,9,1050,S1,S1
S1,D8,9,11,1070,H2951,S1
S1,D8,10,0,1080,S1,S1
S1,D8,10,2,1100,H3137,S1
S1,D8,10,4,1120,H3041,S1
S1,D8,10,6,1140,H3035,H3029
S1,D8,10,7,1150,H3029,S1
S1,D8,11,0,1200,S1,S1
S1,D8,11,2,1220,H2441,S1
S1,D8,11,4,1240,H2333,S1
S1,D8,11,10,1300,H2537,S1
S1,D8,12,0,1320,S1,S1
S1,D8,12,2,1340,H3221,S1
S1,D8,12,4,1360,H3125,S1
S1,D9,1,0,0,S1,H3149
S1,D9,1,11,110,H2633,S1
S1,D9,2,0,120,S1,H2213
S1,D9,2,10,220,H2825,H2831
S1,D9,3,0,240,S1,H2435
S1,D9,3,2,260,H3119,H2651
S1,D9,3,11,350,H3221,S1
S1,D9,4,0,360,S1,S1
S1,D9,4,2,380,H3467,S1
S1,D9,4,4,400,H3251,S1
S1,D9,4,10,460,H3353,S1
S1,D9,5,0,480,S1,S1
S1,D9,5,3,510,H2741,S1
S1,D9,5,5,530,H2645,S1
S1,D9,5,10,580,H2537,S1
S1,D9,6,0,600,S1,S1
S1,D9,6,2,620,H2087,S1
S1,D9,6,4,640,H2201,S1
S1,D9,6,6,660,H2303,S1
S1,D9,6,9,690,S1,S1
S1,D9,6,11,710,H2537,S1
S1,D9,7,0,720,S1,S1
S1,D9,7,2,740,H2759,S1
S1,D9,7,4,760,H2849,S1
S1,D9,7,6,780,H2753,H2651
S1,D9,7,7,790,H2651,S1
S1,D9,7,9,810,H2645,H2651
S1,D9,7,10,820,H2651,S1
S1,D9,8,0,840,S1,S1
S1,D9,8,2,860,H2735,S1
S1,D9,8,5,890,H2741,H2627
S1,D9,8,6,900,H2627,S1
S1,D9,8,8,920,H2621,S1
S1,D9,8,10,940,H2513,S1
S1,D9,9,0,960,S1,S1
S1,D9,9,2,980,H3047,S1
S1,D9,9,6,1020,H3149,S1
S1,D9,9,10,1060,H3155,S1
S1,D9,10,0,1080,S1,S1
S1,D9,10,3,1110,H2843,S1
S1,D9,10,10,1180,H2741,S1
S1,D9,11,0,1200,S1,S1
S1,D9,11,2,1220,H2939,S1
S1,D9,11,4,1240,H3029,S1
S1,D9,11,6,1260,H3023,H2921
S1,D9,11,10,1300,H2921,S1
S1,D9,12,0,1320,S1,S1
S1,D9,12,2,1340,H3047,S1
S1,D9,12,4,1360,H3053,S1
S1,D9,12,6,1380,H3155,S1
S1,D10,1,0,0,S1,H3155
S1,D10,1,11,110,H2537,S1
S1,D10,2,0,120,S1,H2333
S1,D10,2,10,220,H2537,H3329
S1,D10,3,0,240,S1,H2555
S1,D10,3,3,270,H3053,H3359
S1,D10,3,6,300,H3059,H3263
S1,D10,3,11,350,H3263,S1
S1,D10,4,0,360,S1,S1
S1,D10,4,2,380,H2849,S1
S1,D10,4,4,400,H2843,H2753
S1,D10,4,5,410,H2753,H2651
S1,D10,4,6,420,H2651,S1
S1,D10,4,10,460,H2441,S1
S1,D10,5,0,480,S1,S1
S1,D10,5,3,510,H2753,S1
S1,D10,5,5,530,H2855,S1
S1,D10,5,7,550,H2963,S1
S1,D10,5,10,580,H3167,S1
S1,D10,6,0,600,S1,S1
S1,D10,6,3,630,H3221,H2549
S1,D10,6,5,650,H3119,S1
S1,D10,6,7,670,H3125,S1
S1,D10,6,10,700,H3131,S1
S1,D10,7,0,720,S1,S1
S1,D10,7,2,740,H2729,S1
S1,D10,7,9,810,H2723,H2213
S1,D10,8,0,840,S1,S1
S1,D10,8,2,860,H2837,S1
S1,D10,8,5,890,H2945,H3323
S1,D10,8,10,940,H2831,S1
S1,D10,9,0,960,S1,S1
S1,D10,9,2,980,H2549,S1
S1,D10,9,4,1000,H2747,S1
S1,D10,9,6,1020,H2639,S1
S1,D10,9,8,1040,H2633,S1
S1,D10,9,10,1060,H2729,S1
S1,D10,10,0,1080,S1,S1
S1,D10,10,2,1100,H2609,H2513
S1,D10,10,3,1110,H2513,S1
S1,D10,10,5,1130,H2309,S1
S1,D10,10,7,1150,S1,S1
S1,D10,10,9,1170,H2819,S1
S1,D10,10,11,1190,H2927,S1
S1,D10,11,0,1200,S1,S1
S1,D10,11,3,1230,H2837,S1
S1,D10,11,9,1290,H2831,S1
S1,D10,12,0,1320,S1,S1
S1,D10,12,2,1340,H3335,S1
S1,D10,12,4,1360,H3437,S1
S1,D10,12,6,1380,H3233,S1
S2,D1,1,0,0,S2,H2153
S2,D1,1,11,110,H2003,S2
S2,D1,2,0,120,S2,H1931
S2,D1,2,11,230,H1925,S2
S2,D1,3,0,240,S2,H2123
S2,D1,3,2,260,H2021,H1997
S2,D1,3,4,280,H1919,H1829
S2,D1,3,10,340,H1913,S2
S2,D1,5,1,490,S2,H1811
S2,D1,5,2,500,H1811,H1919
S2,D1,5,3,510,H1919,H1925
S2,D1,5,4,520,H1925,H1823
S2,D1,5,5,530,H1823,H1829
S2,D1,5,6,540,H1829,H1835
S2,D1,5,7,550,H1835,H1841
S2,D1,5,8,560,H1841,H1847
S2,D1,5,9,570,H1847,H1853
S2,D1,5,10,580,H1853,H1859
S2,D1,5,11,590,H1859,H2003
S2,D1,11,0,1200,S2,S2
S2,D1,11,2,1220,H1889,S2
S2,D1,11,6,1260,H2003,S2
S2,D1,11,11,1310,H1997,S2
S2,D1,12,0,1320,S2,S2
S2,D1,12,2,1340,H2447,S2
S2,D1,12,4,1360,H2351,S2
S2,D1,12,6,1380,H2345,S2
S2,D1,12,8,1400,H2243,S2
S2,D2,1,0,0,S2,H1631
S2,D2,1,11,110,H1943,S2
S2,D2,2,0,120,S2,H1955
S2,D2,2,10,220,H1697,H2363
S2,D2,3,0,240,S2,H1559
S2,D2,3,2,260,H1673,S2
S2,D2,3,9,330,H1889,H1787
S2,D2,3,10,340,H1787,S2
S2,D2,11,0,1200,S2,S2
S2,D2,11,2,1220,H1529,S2
S2,D2,11,4,1240,H1637,S2
S2,D2,11,6,1260,H1541,S2
S2,D2,11,8,1280,H1739,S2
S2,D2,11,11,1310,H1631,S2
S2,D2,12,0,1320,S2,S2
S2,D2,12,2,1340,H1589,S2
S2,D2,12,4,1360,H1661,S2
S2,D2,12,6,1380,H1577,S2
S2,D3,1,0,0,S2,H1889
S2,D3,1,11,110,H1931,S2
S2,D3,2,0,120,S2,H1943
S2,D3,2,10,220,H1955,H1619
S2,D3,3,0,240,S2,H2075
S2,D3,3,2,260,H2051,S2
S2,D3,3,11,350,H2057,H2231
S2,D3,11,0,1200,S2,S2
S2,D3,11,2,1220,H1643,S2
S2,D3,11,3,1230,S2,H1775
S2,D3,11,5,1250,H2339,H2117
S2,D3,11,7,1270,H2117,H1499
S2,D3,11,9,1290,H2231,H2177
S2,D3,11,11,1310,H2129,S2
S2,D3,12,0,1320,S2,S2
S2,D3,12,2,1340,H1763,S2
S2,D3,12,4,1360,H1691,S2
S2,D3,12,6,1380,H1907,S2
S2,D4,1,0,0,S2,H2159
S2,D4,1,11,110,H2447,S2
S2,D4,2,0,120,S2,H1733
S2,D4,2,9,210,H2447,H1925
S2,D4,3,0,240,S2,H1769
S2,D4,3,3,270,H1511,H1985
S2,D4,3,11,350,H1607,H2009
S2,D4,11,0,1200,S2,S2
S2,D4,11,2,1220,H1817,S2
S2,D4,11,4,1240,H2027,S2
S2,D4,11,7,1270,H2255,S2
S2,D4,11,9,1290,H2141,S2
S2,D4,11,11,1310,H2147,S2
S2,D4,12,0,1320,S2,S2
S2,D4,12,2,1340,H1715,S2
S2,D4,12,5,1370,H1829,S2
S2,D4,12,7,1390,H1595,S2
S2,D5,1,0,0,S2,H1637
S2,D5,1,11,110,H1937,S2
S2,D5,2,0,120,S2,H1559
S2,D5,2,9,210,H1733,H1535
S2,D5,3,0,240,S2,H1985
S2,D5,3,3,270,H2363,H1769
S2,D5,3,9,330,H2261,H1703
S2,D5,3,11,350,H2039,H1805
S2,D5,5,0,480,S2,H1805
S2,D5,5,1,490,H1805,H1691
S2,D5,5,2,500,H1691,H1685
S2,D5,5,3,510,H1685,H1679
S2,D5,5,4,520,H1679,H1787
S2,D5,5,5,530,H1787,H1673
S2,D5,5,6,540,H1673,H1547
S2,D5,5,7,550,H1547,H1955
S2,D5,5,8,560,H1955,H1739
S2,D5,5,9,570,H1739,H1631
S2,D5,5,10,580,H1631,H1637
S2,D5,5,11,590,H1637,H1697
S2,D5,11,0,1200,S2,S2
S2,D5,11,3,1230,H2111,S2
S2,D5,11,5,1250,H2105,S2
S2,D5,11,9,1290,H2219,S2
S2,D5,11,11,1310,H2225,S2
S2,D5,12,0,1320,S2,S2
S2,D5,12,2,1340,H1769,S2
S2,D5,12,4,1360,H1649,S2
S2,D5,12,8,1400,H1535,S2
S2,D6,1,0,0,S2,H2057
S2,D6,1,11,110,H1925,S2
S2,D6,2,0,120,S2,S2
S2,D6,2,10,220,H1625,S2
S2,D6,3,0,240,S2,H1685
S2,D6,3,3,270,H1619,H1829
S2,D6,3,8,320,H1523,H1625
S2,D6,3,9,330,H1625,S2
S2,D6,5,0,480,S2,H1913
S2,D6,5,1,490,H1913,H1919
S2,D6,5,2,500,H1919,H1925
S2,D6,5,3,510,H1925,H1823
S2,D6,5,4,520,H1823,H1829
S2,D6,5,5,530,H1829,H1721
S2,D6,5,6,540,H1721,H1727
S2,D6,5,7,550,H1727,H1607
S2,D6,5,8,560,H1607,H1613
S2,D6,5,9,570,H1613,H1619
S2,D6,5,10,580,H1619,H1523
S2,D6,5,11,590,H1523,H1625
S2,D6,7,0,720,S2,S2
S2,D6,7,2,740,H1793,H1799
S2,D6,7,3,750,H1799,S2
S2,D6,7,4,760,S2,H1817
S2,D6,7,5,770,H1817,H1823
S2,D6,7,6,780,H1823,H1721
S2,D6,7,7,790,H1721,H1607
S2,D6,7,8,800,H1607,H1511
S2,D6,7,9,810,H1511,H1517
S2,D6,7,10,820,H1517,H1523
S2,D6,7,11,830,H1523,H2447
S2,D6,9,0,960,S2,S2
S2,D6,9,2,980,H1793,H1799
S2,D6,9,3,990,H1799,S2
S2,D6,9,4,1000,S2,H1817
S2,D6,9,5,1010,H1817,H1823
S2,D6,9,6,1020,H1823,H1721
S2,D6,9,7,1030,H1721,H1607
S2,D6,9,8,1040,H1607,H1511
S2,D6,9,9,1050,H1511,H1517
S2,D6,9,10,1060,H1517,H1523
S2,D6,9,11,1070,H1523,H2231
S2,D6,11,0,1200,S2,S2
S2,D6,11,3,1230,H1625,S2
S2,D6,11,8,1280,H1745,S2
S2,D6,11,11,1310,H1841,S2
S2,D6,12,0,1320,S2,S2
S2,D6,12,2,1340,H1697,S2
