dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
D1,1,1,10,H2447,5.8,222.85714285714286
D1,1,2,20,H2447,5.8,222.85714285714286
D1,1,3,30,H2447,5.8,222.85714285714286
D1,1,4,40,H2447,5.8,222.85714285714286
D1,1,5,50,H2447,5.8,222.85714285714286
D1,1,6,60,H2447,5.8,222.85714285714286
D1,1,7,70,H2447,5.8,222.85714285714286
D1,1,8,80,H2447,5.8,222.85714285714286
D1,1,9,90,H2447,5.8,222.85714285714286
D1,1,10,100,H2447,5.8,222.85714285714286
D2,1,1,10,H2849,5.8,222.85714285714286
D2,1,2,20,H2849,5.8,222.85714285714286
D2,1,3,30,H2849,5.8,222.85714285714286
D2,1,4,40,H2849,5.8,222.85714285714286
D2,1,5,50,H2849,5.8,222.85714285714286
D2,1,6,60,H2849,5.8,222.85714285714286
D2,1,7,70,H2849,5.8,222.85714285714286
D2,1,8,80,H2849,5.8,222.85714285714286
D2,1,9,90,H2849,5.8,222.85714285714286
D2,1,10,100,H2849,5.8,222.85714285714286
D3,1,1,10,H2465,5.8,222.85714285714286
D3,1,2,20,H2465,5.8,222.85714285714286
D3,1,3,30,H2465,5.8,222.85714285714286
D3,1,4,40,H2465,5.8,222.85714285714286
D3,1,5,50,H2465,5.8,222.85714285714286
D3,1,6,60,H2465,5.8,222.85714285714286
D3,1,7,70,H2465,5.8,222.85714285714286
D3,1,8,80,H2465,5.8,222.85714285714286
D3,1,9,90,H2465,5.8,222.85714285714286
D3,1,10,100,H2465,5.8,222.85714285714286
D4,1,1,10,H2357,5.8,222.85714285714286
D4,1,2,20,H2357,5.8,222.85714285714286
D4,1,3,30,H2357,5.8,222.85714285714286
D4,1,4,40,H2357,5.8,222.85714285714286
D4,1,5,50,H2357,5.8,222.85714285714286
D4,1,6,60,H2357,5.8,222.85714285714286
D4,1,7,70,H2357,5.8,222.85714285714286
D4,1,8,80,H2357,5.8,222.85714285714286
D4,1,9,90,H2357,5.8,222.85714285714286
D4,1,10,100,H2357,5.8,222.85714285714286
D5,1,1,10,H2873,6.25,197.14285714285714
D5,1,2,20,H2873,6.25,197.14285714285714
D5,1,3,30,H2873,6.25,197.14285714285714
D5,1,4,40,H2873,6.25,197.14285714285714
D5,1,5,50,H2873,6.25,197.14285714285714
D5,1,6,60,H2873,6.25,197.14285714285714
D5,1,7,70,H2873,6.25,197.14285714285714
D5,1,8,80,H2873,6.25,197.14285714285714
D5,1,9,90,H2873,6.25,197.14285714285714
D5,1,10,100,H2873,6.25,197.14285714285714
D6,1,1,10,H2573,6.55,180.0
D6,1,2,20,H2573,6.55,180.0
D6,1,3,30,H2573,6.55,180.0
D6,1,4,40,H2573,6.55,180.0
D6,1,5,50,H2573,6.55,180.0
D6,1,6,60,H2573,6.55,180.0
D6,1,7,70,H2573,6.55,180.0
D6,1,8,80,H2573,6.55,180.0
D6,1,9,90,H2573,6.55,180.0
D6,1,10,100,H2573,6.55,180.0
D1,2,4,160,H2849,5.8,222.85714285714286
D1,2,5,170,H2849,5.8,222.85714285714286
D1,2,6,180,H2849,5.8,222.85714285714286
D1,2,7,190,H2849,5.8,222.85714285714286
D1,2,8,200,H2849,5.8,222.85714285714286
D1,2,9,210,H2849,5.8,222.85714285714286
D1,2,10,220,H2849,5.8,222.85714285714286
D2,2,1,130,H2447,5.8,222.85714285714286
D2,2,2,140,H2447,5.8,222.85714285714286
D2,2,3,150,H2447,5.8,222.85714285714286
D2,2,4,160,H2447,5.8,222.85714285714286
D2,2,5,170,H2447,5.8,222.85714285714286
D2,2,6,180,H2447,5.8,222.85714285714286
D2,2,7,190,H2447,5.8,222.85714285714286
D2,2,8,200,H2447,5.8,222.85714285714286
D2,2,9,210,H2447,5.8,222.85714285714286
D3,2,2,140,H2669,5.8,222.85714285714286
D3,2,3,150,H2669,5.8,222.85714285714286
D3,2,4,160,H2669,5.8,222.85714285714286
D3,2,5,170,H2669,5.8,222.85714285714286
D3,2,6,180,H2669,5.8,222.85714285714286
D3,2,7,190,H2669,5.8,222.85714285714286
D3,2,8,200,H2669,5.8,222.85714285714286
D3,2,9,210,H2669,5.8,222.85714285714286
D3,2,10,220,H2669,5.8,222.85714285714286
D4,2,2,140,H2357,5.8,222.85714285714286
D4,2,3,150,H2357,5.8,222.85714285714286
D4,2,4,160,H2357,5.8,222.85714285714286
D4,2,5,170,H2357,5.8,222.85714285714286
D4,2,6,180,H2357,5.8,222.85714285714286
D4,2,7,190,H2357,5.8,222.85714285714286
D4,2,8,200,H2357,5.8,222.85714285714286
D4,2,9,210,H2357,5.8,222.85714285714286
D4,2,10,220,H2357,5.8,222.85714285714286
D5,2,2,140,H2873,6.25,197.14285714285714
D5,2,3,150,H2873,6.25,197.14285714285714
D5,2,4,160,H2873,6.25,197.14285714285714
D5,2,5,170,H2873,6.25,197.14285714285714
D5,2,6,180,H2873,6.25,197.14285714285714
D5,2,7,190,H2873,6.25,197.14285714285714
D5,2,8,200,H2873,6.25,197.14285714285714
D5,2,9,210,H2873,6.25,197.14285714285714
D5,2,10,220,H2873,6.25,197.14285714285714
D6,2,2,140,H2573,6.55,180.0
D6,2,3,150,H2573,6.55,180.0
D6,2,4,160,H2573,6.55,180.0
D6,2,5,170,H2573,6.55,180.0
D6,2,6,180,H2573,6.55,180.0
D6,2,7,190,H2573,6.55,180.0
D6,2,8,200,H2573,6.55,180.0
D6,2,9,210,H2573,6.55,180.0
D6,2,10,220,H2573,6.55,180.0
D1,3,7,310,H2453,4.45,300.0
D1,3,9,330,H2453,4.45,300.0
D1,3,3,270,H2555,4.9,274.2857142857142
D1,3,5,290,H2657,4.75,282.85714285714283
D1,3,1,250,H2759,5.35,248.57142857142858
D2,3,9,330,H2549,4.3,308.57142857142856
D2,3,3,270,H2651,5.2,257.1428571428571
D2,3,7,310,H2753,4.9,274.2857142857142
D2,3,1,250,H2765,5.35,248.57142857142858
D2,3,5,290,H2855,4.9,274.2857142857142
D3,3,7,310,H2147,4.3,308.57142857142856
D3,3,5,290,H2255,4.75,282.85714285714283
D3,3,1,250,H2261,5.35,248.57142857142858
D3,3,9,330,H2357,5.8,222.85714285714286
D3,3,3,270,H2369,5.35,248.57142857142858
D4,3,1,250,H2153,5.65,231.4285714285714
D4,3,3,270,H2159,5.65,231.4285714285714
D4,3,6,300,H2363,5.35,248.57142857142858
D4,3,8,320,H2465,5.8,222.85714285714286
D4,3,9,330,H2465,5.8,222.85714285714286
D5,3,4,280,H2351,4.75,282.85714285714283
D5,3,7,310,H2561,4.45,300.0
D5,3,8,320,H2561,4.45,300.0
D5,3,9,330,H2561,4.45,300.0
D5,3,1,250,H2867,5.35,248.57142857142858
D6,3,9,330,H2339,5.05,265.7142857142857
D6,3,7,310,H2543,4.3,308.57142857142856
D6,3,1,250,H2567,5.35,248.57142857142858
D6,3,3,270,H2663,4.9,274.2857142857142
D6,3,4,280,H2663,4.9,274.2857142857142
D1,4,3,390,H2771,4.3,308.57142857142856
D1,4,1,370,H2861,4.15,317.1428571428571
D1,4,5,410,H2873,6.25,197.14285714285714
D1,4,7,430,H2873,6.25,197.14285714285714
D1,4,9,450,H2873,6.25,197.14285714285714
D2,4,6,420,H2459,3.4,360.0
D2,4,7,430,H2459,3.4,360.0
D2,4,3,390,H2573,6.55,180.0
D2,4,4,400,H2573,6.55,180.0
D2,4,1,370,H2777,4.3,308.57142857142856
D3,4,3,390,H2645,3.85,334.2857142857143
D3,4,1,370,H2747,4.6,291.42857142857144
D3,4,5,410,H2849,5.8,222.85714285714286
D3,4,7,430,H2849,5.8,222.85714285714286
D3,4,9,450,H2849,5.8,222.85714285714286
D4,4,3,390,H2135,3.85,334.2857142857143
D4,4,1,370,H2249,4.3,308.57142857142856
D4,4,5,410,H2345,3.85,334.2857142857143
D4,4,7,430,H2447,5.8,222.85714285714286
D4,4,8,440,H2447,5.8,222.85714285714286
D4,4,9,450,H2447,5.8,222.85714285714286
D5,4,3,390,H2237,3.85,334.2857142857143
D5,4,1,370,H2441,4.3,308.57142857142856
D5,4,6,420,H2669,5.8,222.85714285714286
D5,4,7,430,H2669,5.8,222.85714285714286
D5,4,8,440,H2669,5.8,222.85714285714286
D5,4,9,450,H2669,5.8,222.85714285714286
D6,4,3,390,H2141,3.85,334.2857142857143
D6,4,1,370,H2165,4.3,308.57142857142856
D6,4,5,410,H2243,3.85,334.2857142857143
D6,4,7,430,H2357,5.8,222.85714285714286
D6,4,8,440,H2357,5.8,222.85714285714286
D6,4,9,450,H2357,5.8,222.85714285714286
D1,5,8,560,H2657,4.75,282.85714285714283
D1,5,6,540,H2663,4.9,274.2857142857142
D1,5,1,490,H2765,5.35,248.57142857142858
D1,5,2,500,H2765,5.35,248.57142857142858
D1,5,3,510,H2765,5.35,248.57142857142858
D1,5,4,520,H2765,5.35,248.57142857142858
D2,5,9,570,H2351,4.75,282.85714285714283
D2,5,7,550,H2555,4.9,274.2857142857142
D2,5,5,530,H2651,5.2,257.1428571428571
D2,5,1,490,H2759,5.35,248.57142857142858
D2,5,3,510,H2855,4.9,274.2857142857142
D3,5,9,570,H2255,4.75,282.85714285714283
D3,5,1,490,H2261,5.35,248.57142857142858
D3,5,7,550,H2363,5.35,248.57142857142858
D3,5,3,510,H2369,5.35,248.57142857142858
D3,5,5,530,H2465,5.8,222.85714285714286
D4,5,1,490,H2153,5.65,231.4285714285714
D4,5,3,510,H2159,5.65,231.4285714285714
D4,5,4,520,H2159,5.65,231.4285714285714
D4,5,5,530,H2159,5.65,231.4285714285714
D4,5,6,540,H2159,5.65,231.4285714285714
D4,5,7,550,H2159,5.65,231.4285714285714
D4,5,8,560,H2159,5.65,231.4285714285714
D4,5,9,570,H2159,5.65,231.4285714285714
D5,5,1,490,H2567,5.35,248.57142857142858
D5,5,3,510,H2573,6.55,180.0
D5,5,4,520,H2573,6.55,180.0
D5,5,5,530,H2573,6.55,180.0
D5,5,6,540,H2573,6.55,180.0
D5,5,7,550,H2573,6.55,180.0
D5,5,8,560,H2573,6.55,180.0
D5,5,9,570,H2573,6.55,180.0
D6,5,1,490,H2867,5.35,248.57142857142858
D6,5,3,510,H2873,6.25,197.14285714285714
D6,5,4,520,H2873,6.25,197.14285714285714
D6,5,5,530,H2873,6.25,197.14285714285714
D6,5,6,540,H2873,6.25,197.14285714285714
D6,5,7,550,H2873,6.25,197.14285714285714
D6,5,8,560,H2873,6.25,197.14285714285714
D6,5,9,570,H2873,6.25,197.14285714285714
D1,6,5,650,H2441,4.3,308.57142857142856
D1,6,7,670,H2441,4.3,308.57142857142856
D1,6,8,680,H2441,4.3,308.57142857142856
D1,6,9,690,H2441,4.3,308.57142857142856
D1,6,1,610,H2543,4.3,308.57142857142856
D1,6,3,630,H2549,4.3,308.57142857142856
D2,6,1,610,H2339,5.05,265.7142857142857
D2,6,3,630,H2447,5.8,222.85714285714286
D2,6,4,640,H2447,5.8,222.85714285714286
D2,6,5,650,H2447,5.8,222.85714285714286
D2,6,6,660,H2447,5.8,222.85714285714286
D2,6,7,670,H2447,5.8,222.85714285714286
D2,6,8,680,H2447,5.8,222.85714285714286
D2,6,9,690,H2447,5.8,222.85714285714286
D3,6,5,650,H2357,5.8,222.85714285714286
D3,6,6,660,H2357,5.8,222.85714285714286
D3,6,7,670,H2357,5.8,222.85714285714286
D3,6,8,680,H2357,5.8,222.85714285714286
D3,6,9,690,H2357,5.8,222.85714285714286
D3,6,1,610,H2453,4.45,300.0
D3,6,3,630,H2561,4.45,300.0
D4,6,1,610,H2147,4.3,308.57142857142856
D4,6,3,630,H2165,4.3,308.57142857142856
D4,6,8,680,H2249,4.3,308.57142857142856
D4,6,9,690,H2249,4.3,308.57142857142856
D4,6,5,650,H2255,4.75,282.85714285714283
D4,6,6,660,H2255,4.75,282.85714285714283
D5,6,3,630,H2747,4.6,291.42857142857144
D5,6,1,610,H2753,4.9,274.2857142857142
D5,6,9,690,H2771,4.3,308.57142857142856
D5,6,5,650,H2849,5.8,222.85714285714286
D5,6,7,670,H2861,4.15,317.1428571428571
D6,6,5,650,H2573,6.55,180.0
D6,6,6,660,H2573,6.55,180.0
D6,6,7,670,H2573,6.55,180.0
D6,6,8,680,H2573,6.55,180.0
D6,6,9,690,H2573,6.55,180.0
D6,6,1,610,H2669,5.8,222.85714285714286
D6,6,3,630,H2777,4.3,308.57142857142856
D1,7,1,730,H2237,3.85,334.2857142857143
D1,7,3,750,H2345,3.85,334.2857142857143
D1,7,7,790,H2855,4.9,274.2857142857142
D1,7,8,800,H2855,4.9,274.2857142857142
D1,7,9,810,H2855,4.9,274.2857142857142
D2,7,1,730,H2645,3.85,334.2857142857143
D2,7,8,800,H2651,5.2,257.1428571428571
D2,7,9,810,H2651,5.2,257.1428571428571
D2,7,6,780,H2765,5.35,248.57142857142858
D2,7,4,760,H2873,6.25,197.14285714285714
D3,7,1,730,H2141,3.85,334.2857142857143
D3,7,3,750,H2261,5.35,248.57142857142858
D3,7,7,790,H2363,5.35,248.57142857142858
D3,7,5,770,H2369,5.35,248.57142857142858
D3,7,9,810,H2465,5.8,222.85714285714286
D4,7,1,730,H2135,3.85,334.2857142857143
D4,7,6,780,H2159,5.65,231.4285714285714
D4,7,7,790,H2159,5.65,231.4285714285714
D4,7,8,800,H2159,5.65,231.4285714285714
D4,7,9,810,H2159,5.65,231.4285714285714
D4,7,3,750,H2243,3.85,334.2857142857143
D5,7,1,730,H2153,5.65,231.4285714285714
D5,7,4,760,H2465,5.8,222.85714285714286
D5,7,6,780,H2567,5.35,248.57142857142858
D5,7,7,790,H2567,5.35,248.57142857142858
D5,7,9,810,H2663,4.9,274.2857142857142
D6,7,7,790,H2459,3.4,360.0
D6,7,8,800,H2459,3.4,360.0
D6,7,9,810,H2459,3.4,360.0
D6,7,3,750,H2759,5.35,248.57142857142858
D6,7,1,730,H2867,5.35,248.57142857142858
D1,8,8,920,H2747,4.6,291.42857142857144
D1,8,1,850,H2753,4.9,274.2857142857142
D1,8,3,870,H2849,5.8,222.85714285714286
D1,8,4,880,H2849,5.8,222.85714285714286
D1,8,5,890,H2849,5.8,222.85714285714286
D1,8,6,900,H2849,5.8,222.85714285714286
D2,8,1,850,H2339,5.05,265.7142857142857
D2,8,2,860,H2339,5.05,265.7142857142857
D2,8,3,870,H2339,5.05,265.7142857142857
D2,8,4,880,H2339,5.05,265.7142857142857
D2,8,5,890,H2339,5.05,265.7142857142857
D2,8,7,910,H2543,4.3,308.57142857142856
D2,8,9,930,H2549,4.3,308.57142857142856
D3,8,5,890,H2357,5.8,222.85714285714286
D3,8,6,900,H2357,5.8,222.85714285714286
D3,8,7,910,H2357,5.8,222.85714285714286
D3,8,9,930,H2357,5.8,222.85714285714286
D3,8,3,870,H2561,4.45,300.0
D3,8,1,850,H2657,4.75,282.85714285714283
D4,8,1,850,H2351,4.75,282.85714285714283
D4,8,3,870,H2447,5.8,222.85714285714286
D4,8,4,880,H2447,5.8,222.85714285714286
D4,8,5,890,H2447,5.8,222.85714285714286
D4,8,6,900,H2447,5.8,222.85714285714286
D4,8,7,910,H2447,5.8,222.85714285714286
D4,8,8,920,H2447,5.8,222.85714285714286
D4,8,9,930,H2447,5.8,222.85714285714286
D5,8,3,870,H2573,6.55,180.0
D5,8,4,880,H2573,6.55,180.0
D5,8,5,890,H2573,6.55,180.0
D5,8,6,900,H2573,6.55,180.0
D5,8,7,910,H2573,6.55,180.0
D5,8,1,850,H2669,5.8,222.85714285714286
D5,8,9,930,H2777,4.3,308.57142857142856
D6,8,6,900,H2147,4.3,308.57142857142856
D6,8,8,920,H2165,4.3,308.57142857142856
D6,8,9,930,H2165,4.3,308.57142857142856
D6,8,3,870,H2453,4.45,300.0
D6,8,1,850,H2555,4.9,274.2857142857142
D1,9,7,1030,H2465,5.8,222.85714285714286
D1,9,8,1040,H2465,5.8,222.85714285714286
D1,9,9,1050,H2465,5.8,222.85714285714286
D1,9,5,1010,H2567,5.35,248.57142857142858
D1,9,3,990,H2771,4.3,308.57142857142856
D1,9,1,970,H2861,4.15,317.1428571428571
D2,9,1,970,H2153,5.65,231.4285714285714
D2,9,3,990,H2249,4.3,308.57142857142856
D2,9,6,1020,H2447,5.8,222.85714285714286
D2,9,7,1030,H2447,5.8,222.85714285714286
D2,9,8,1040,H2447,5.8,222.85714285714286
D2,9,9,1050,H2447,5.8,222.85714285714286
D3,9,1,970,H2255,4.75,282.85714285714283
D3,9,3,990,H2261,5.35,248.57142857142858
D3,9,7,1030,H2363,5.35,248.57142857142858
D3,9,8,1040,H2363,5.35,248.57142857142858
D3,9,9,1050,H2363,5.35,248.57142857142858
D3,9,5,1010,H2369,5.35,248.57142857142858
D4,9,6,1020,H2159,5.65,231.4285714285714
D4,9,7,1030,H2159,5.65,231.4285714285714
D4,9,8,1040,H2159,5.65,231.4285714285714
D4,9,9,1050,H2159,5.65,231.4285714285714
D4,9,1,970,H2441,4.3,308.57142857142856
D4,9,2,980,H2441,4.3,308.57142857142856
D5,9,4,1000,H2759,5.35,248.57142857142858
D5,9,6,1020,H2765,5.35,248.57142857142858
D5,9,7,1030,H2765,5.35,248.57142857142858
D5,9,8,1040,H2765,5.35,248.57142857142858
D5,9,9,1050,H2765,5.35,248.57142857142858
D5,9,1,970,H2867,5.35,248.57142857142858
D5,9,2,980,H2867,5.35,248.57142857142858
D6,9,3,990,H2573,6.55,180.0
D6,9,5,1010,H2573,6.55,180.0
D6,9,6,1020,H2573,6.55,180.0
D6,9,7,1030,H2573,6.55,180.0
D6,9,8,1040,H2573,6.55,180.0
D6,9,9,1050,H2573,6.55,180.0
D6,9,1,970,H2873,6.25,197.14285714285714
D1,10,1,1090,H2651,5.2,257.1428571428571
D1,10,5,1130,H2849,5.8,222.85714285714286
D1,10,7,1150,H2849,5.8,222.85714285714286
D1,10,8,1160,H2849,5.8,222.85714285714286
D1,10,9,1170,H2849,5.8,222.85714285714286
D1,10,3,1110,H2855,4.9,274.2857142857142
D2,10,1,1090,H2237,3.85,334.2857142857143
D2,10,3,1110,H2351,4.75,282.85714285714283
D2,10,9,1170,H2459,3.4,360.0
D2,10,5,1130,H2555,4.9,274.2857142857142
D2,10,7,1150,H2561,4.45,300.0
D3,10,1,1090,H2141,3.85,334.2857142857143
D3,10,3,1110,H2243,3.85,334.2857142857143
D3,10,5,1130,H2357,5.8,222.85714285714286
D3,10,6,1140,H2357,5.8,222.85714285714286
D3,10,7,1150,H2357,5.8,222.85714285714286
D3,10,8,1160,H2357,5.8,222.85714285714286
D4,10,7,1150,H2339,5.05,265.7142857142857
D4,10,8,1160,H2339,5.05,265.7142857142857
D4,10,9,1170,H2339,5.05,265.7142857142857
D4,10,1,1090,H2645,3.85,334.2857142857143
D4,10,3,1110,H2753,4.9,274.2857142857142
D5,10,8,1160,H2453,4.45,300.0
D5,10,6,1140,H2657,4.75,282.85714285714283
D5,10,3,1110,H2663,4.9,274.2857142857142
D5,10,4,1120,H2663,4.9,274.2857142857142
D5,10,1,1090,H2669,5.8,222.85714285714286
D6,10,1,1090,H2135,3.85,334.2857142857143
D6,10,3,1110,H2345,3.85,334.2857142857143
D6,10,7,1150,H2651,5.2,257.1428571428571
D6,10,8,1160,H2651,5.2,257.1428571428571
D6,10,9,1170,H2651,5.2,257.1428571428571
D1,11,8,1280,H2441,4.3,308.57142857142856
D1,11,5,1250,H2447,5.8,222.85714285714286
D1,11,6,1260,H2447,5.8,222.85714285714286
D1,11,1,1210,H2543,4.3,308.57142857142856
D1,11,3,1230,H2549,4.3,308.57142857142856
D2,11,6,1260,H2567,5.35,248.57142857142858
D2,11,7,1270,H2567,5.35,248.57142857142858
D2,11,9,1290,H2771,4.3,308.57142857142856
D2,11,3,1230,H2867,5.35,248.57142857142858
D2,11,1,1210,H2873,6.25,197.14285714285714
D3,11,1,1210,H2153,5.65,231.4285714285714
D3,11,3,1230,H2159,5.65,231.4285714285714
D3,11,5,1250,H2255,4.75,282.85714285714283
D3,11,7,1270,H2363,5.35,248.57142857142858
D3,11,9,1290,H2363,5.35,248.57142857142858
D4,11,1,1210,H2147,4.3,308.57142857142856
D4,11,5,1250,H2165,4.3,308.57142857142856
D4,11,6,1260,H2165,4.3,308.57142857142856
D4,11,7,1270,H2165,4.3,308.57142857142856
D4,11,8,1280,H2165,4.3,308.57142857142856
D4,11,9,1290,H2165,4.3,308.57142857142856
D4,11,3,1230,H2261,5.35,248.57142857142858
D5,11,2,1220,H2747,4.6,291.42857142857144
D5,11,4,1240,H2759,5.35,248.57142857142858
D5,11,8,1280,H2765,5.35,248.57142857142858
D5,11,9,1290,H2765,5.35,248.57142857142858
D5,11,6,1260,H2861,4.15,317.1428571428571
D6,11,6,1260,H2369,5.35,248.57142857142858
D6,11,8,1280,H2465,5.8,222.85714285714286
D6,11,9,1290,H2465,5.8,222.85714285714286
D6,11,3,1230,H2573,6.55,180.0
D6,11,4,1240,H2573,6.55,180.0
D6,11,1,1210,H2777,4.3,308.57142857142856
D1,12,4,1360,H2753,4.9,274.2857142857142
D1,12,7,1390,H2849,5.8,222.85714285714286
D1,12,2,1340,H2855,4.9,274.2857142857142
D2,12,2,1340,H2849,5.8,222.85714285714286
D2,12,3,1350,H2849,5.8,222.85714285714286
D2,12,4,1360,H2849,5.8,222.85714285714286
D2,12,5,1370,H2849,5.8,222.85714285714286
D3,12,7,1390,H2351,4.75,282.85714285714283
D3,12,2,1340,H2357,5.8,222.85714285714286
D3,12,3,1350,H2357,5.8,222.85714285714286
D4,12,6,1380,H2573,6.55,180.0
D4,12,7,1390,H2573,6.55,180.0
D4,12,2,1340,H2663,4.9,274.2857142857142
D5,12,1,1330,H2669,5.8,222.85714285714286
D5,12,3,1350,H2873,6.25,197.14285714285714
D5,12,5,1370,H2873,6.25,197.14285714285714
D6,12,1,1330,H2249,4.3,308.57142857142856
D6,12,7,1390,H2555,4.9,274.2857142857142
